Sl.No,Language,Language,Exam,Question,Answer Link,,,,,,,,,,,
2389,cognizant,jquery handson,stage3,cognizant hide and seek jquery handson stage3,https://mega.nz/file/Z1gxwIZB#d_BVRdQlaRz5hshKaZ9ZSpeb0ALnDUDBAF2gpEunefo,7,,,,,,,,,,
2390,cognizant,jquery handson,stage3,cognizant lines filter jquery handson stage3,https://mega.nz/file/p1ozBKSI#9ZFMSJ3TgOrK_FE8Ck7f0bZOSyBeUaqeB1pFzMisJyU,7,,,,,,,,,,
2391,cognizant,jquery handson,stage3,cognizant replace me jquery handson stage3,https://mega.nz/file/csxhFCxA#pF3siFIHGsI-QSXUuusE3hlwC_mK2bwQ0J-8lgO0cVg,7,,,,,,,,,,
2392,cognizant,jquery handson,stage3,cognizant search me jquery handson stage3,https://mega.nz/file/dlp3kCKK#0YWaEFkWitvEK7rOBIKyP-TISWxN10W0a7r9RwLZCyc,7,,,,,,,,,,
2393,cognizant,jquery handson,stage3,cognizant to-do list jquery handson stage3,https://mega.nz/file/d04hnSxL#c6AyS8WVulg_A0xln-7voHj8DOX-Ceoh9aGnKbkeiZc,7,,,,,,,,,,
2394,cognizant,jquery handson,stage3,cognizant wrap unwrap jquery handson stage3,https://mega.nz/file/8l4BDAgQ#l4LJYTDa96GuU-3yzC5CPKLMcSQJtKPSglVSWq10Jac,7,,,,,,,,,,
2395,cognizant,microservice,handson,cognizant microservice handson,https://mega.nz/folder/FpoEUQjQ#pYZbdmtRwCrDyrtaX6FKzw,31,,,,,,,,,,
2396,cognizant,microservice,handson,cognizant microservice authentication service handson,https://mega.nz/file/AtxmCCjR#p2V6rLykd5Er3uepJx8wCntjWTSl0i0MUAdccGEfHEA,7,,,,,,,,,,
2397,cognizant,microservice,handson,cognizant microservice ecart client handson,https://mega.nz/file/c9hmCIyK#vef2yZru_XPBRncdtESkGpM_z7--g0biem-HHXEdY5M,7,,,,,,,,,,
2398,cognizant,microservice,handson,cognizant microservice order service handson,https://mega.nz/file/V950XYLA#F3GFIVQA1WlFIuVCRNOQvj4-3HUSNO2coOSZVQgTf-A,7,,,,,,,,,,
2399,cognizant,microservice,handson,cognizant microservice product catalogue service handson,https://mega.nz/file/R9wixCbT#IX88BvZ0b_PuRFmNlb8yqevh5-jTaVp8g-4GqzwO2i0,7,,,,,,,,,,
2400,cognizant,microservice,handson,cognizant microservice shopping cart service handson,https://mega.nz/file/AspkGQJT#HhUkQ3477RkpEjwH28pOpnU0wWbArdInx_96XZbwmK4,7,,,,,,,,,,
2401,cognizant,angular ,handson,cognizant angular 12 handsons and case study,https://mega.nz/file/op5jHaBD#uiDzbYC0F7owyuXEGrEu6GqYqPnxVbk-6a3mNXRIIl8,31,,,,,,,,,,
2402,cognizant,git,handson,cognizant git handson,https://mega.nz/file/4twDASKY#sB5EsENg3PXK9A2BqpLd_SErOGlOft6CbBHegjfgOWA,31,,,,,,,,,,
2403,cognizant,Spring restful,handson,cognizant spring restful web service handson,https://mega.nz/file/k0hD1CgI#i6A1zkbvIFuEPgv6RnQidLLK-qUZ7Cwi8B6KktKKRGA,31,,,,,,,,,,
2404,cognizant,stage3,handson,cognizant spring rest bootstrap jquery handson,https://mega.nz/file/1wxBmSrb#GQPoRAlGDtVrQ2AkOGI3kQGt07f2OSNb2PPJ6RTtS-Q,51,,,,,,,,,,
2405,cognizant,stage3,handson,cognizant stage3 jpa lombok sonar handson ,https://mega.nz/file/Fl5VQKSS#gpAUWn70QlFt_tGbdk7HJ9BeSyqVlHmpxYkzty1e-l4,31,,,,,,,,,,
2406,cognizant,cloud,handson,cognizant cloud all handson,https://mega.nz/folder/4son2Ypb#-mqtQaZyhh2GUUnlUWOjmg,31,,,,,,,,,,
2407,cognizant,cloud,handson,cognizant cloud handson 1,https://mega.nz/file/19oBnKLC#jJGTlkoN-AIyHq4FZlEj07YVivXyGqVDx9d6VdbjYq8,7,,,,,,,,,,
2408,cognizant,cloud,handson,cognizant cloud handson 2,https://mega.nz/file/Fw41TADI#OZmKPpOL06vBt2vsOhzlErTLSDXXryJu8HZmw4fclus,7,,,,,,,,,,
2409,cognizant,cloud,handson,cognizant cloud handson 3,https://mega.nz/file/o9hxGI5J#CZ6-tgUlPTHwPS014Zqs2YgZz4r6DdFWbpG78z29yKo,7,,,,,,,,,,
2410,cognizant,cloud,handson,cognizant cloud handson 4,https://mega.nz/file/5wohGQAB#ihv6JL0J7JTSd9ig-sInO3FN6jdm_5B3oMqMgZuZn-M,7,,,,,,,,,,
2411,cognizant,cloud,handson,cognizant cloud handson 5,https://mega.nz/file/11xTTaKS#HRB4LONQepCHW6tm3SIcqIUUR-SZIzmRNToS5hU3ipM,7,,,,,,,,,,
2412,cognizant,cloud,handson,cognizant cloud handson 6 ,https://mega.nz/file/k8hFwIbY#d78kJP9l0DHdozadr00M0p6W_4_MPbY08zy0GYe20cw,7,,,,,,,,,,
2413,cognizant,cloud,handson,cognizant cloud handson 7,https://mega.nz/file/d1p3FIhY#iVokS_uInrsrXciembMYRz1Lu9RrUEiD2xc79flSgpk,7,,,,,,,,,,
2414,cognizant,cloud,handson,cognizant cloud handson 8 ,https://mega.nz/file/1t5XVAoK#0f5aDBVojODSWScAyBaglHMboZaNelkhGaOGL1LQIiU,7,,,,,,,,,,
2415,cognizant,cloud,handson,cognizant cloud handson 9,https://mega.nz/file/YwhnFCSC#DLVZ6l4eYGHBQBFUXBp7P-tF4mLpI72Me-JJE711ZTU,7,,,,,,,,,,
2416,cognizant,cloud,handson,cognizant cloud practice check handson,https://mega.nz/file/FwoFwKAS#Cfms3pAdF6j6dVUAAI9kG1MyCoe8nnuz-sJpDU92kLo,7,,,,,,,,,,
2417,cognizant,react,handson,cognizant blogger react handson,https://mega.nz/file/5sJzSahb#tkC3gbFCGCyyt9OpR-0tmMYNK--Z9Hut8vujVZYvUdM,7,,,,,,,,,,
2418,cognizant,react,handson,cognizant fetch user app react handson,https://mega.nz/file/wpZRVQiI#uUu7FHtK8yuYeT3QBss81Ahunqp6m01X5mtl24GTiv8,7,,,,,,,,,,
2419,cognizant,react,handson,cognizant mail register app react handson,https://mega.nz/file/QgZjCYSS#W32bHoTUQFqXCduDV9yLEdll9JZ3LddU7YwZwUUVpoU,7,,,,,,,,,,
2420,cognizant,react,handson,cognizant practice check ms stock react handson,https://mega.nz/file/Y0YnxQZA#f20PzmQJB_GYQOk3cbsuVe3jkt9eU7YFG_jH_QNfyWw,7,,,,,,,,,,
2421,cognizant,react,handson,cognizant ticket booking app react handson,https://mega.nz/file/g8Yl2KpB#EbMGPpPwcF1_eMVd8sz5xVC8jU9AjcBzxehyO2sEx38,7,,,,,,,,,,
2422,cognizant,react,handson,cognizant ticket raising app react handson,https://mega.nz/file/gsRz0ALD#Im4IBcBWUlhGVTZDXge7hRGFw5g8Ra6genndbPimKec,7,,,,,,,,,,
2423,cognizant,react,handson,cognizant react handson,https://mega.nz/folder/kxAjESDD#Udk8H4HMkd97BxwyGXHFaw,31,,,,,,,,,,
2424,dotnet,cognizant,stage3,cognizant asp.net core dotnet stage3,https://mega.nz/folder/k0Qj2KjL#FwyS_azfiYu-QyzquD4veA,21,,,,,,,,,,
2425,dotnet,cognizant,stage3,cognizant csharp advance dotnet stage3,https://mega.nz/folder/lpYnAQCR#0XcJht2kBhrURYoSdSMivA,21,,,,,,,,,,
2426,dotnet,cognizant,stage3,cognizant design principle dotnet stage3,https://mega.nz/folder/59QV0I7T#W-0M8yTfp2eIcWoBYXlX1w,31,,,,,,,,,,
2427,dotnet,cognizant,stage3,cognizant n unit case study dotnet stage3,https://mega.nz/folder/dkZBlK6J#V3LmPiM96IjLRBenLiJ7Mw,21,,,,,,,,,,
2428,dotnet,cognizant,stage3,cognizant n unit testing dotnet stage3,https://mega.nz/folder/B8RXgKra#g6ou51rneM5hqjtdVVcR4w,21,,,,,,,,,,
2429,dotnet,cognizant,stage3,cognizant threading practice dotnet stage3,https://mega.nz/folder/EoYx1ApR#W0rMkE_nhqxW3xHos1UmpA,21,,,,,,,,,,
2430,wipro,pjp,training solutions,wipro pjp training solutions,https://mega.nz/folder/IwpE1Zza#TGXtHlXMTF1RaXamZb4Rqg,200,,,,,,,,,,
2431,wipro,pjp,training solutions,abstract classes wipro pjp,https://mega.nz/file/dkwkSQwC#kQzrdGqSWTQQj8iCG9GQyiIRgNlyWobu-QjXFbpQo4I,11,,,,,,,,,,
2432,wipro,pjp,training solutions,arrays wipro pjp,https://mega.nz/file/955ixI6L#nLEn6p_mHzY1P9vjtirXQ1enFCbLJdPdLWIb6136jGk,11,,,,,,,,,,
2433,wipro,pjp,training solutions,assert method annotations wipro pjp,https://mega.nz/file/No50gKpQ#LYhFBtMkFtfnu19uVFoSyn-wCJEa9xa1WLIp3UroBI4,11,,,,,,,,,,
2434,wipro,pjp,training solutions,classes and objects wipro pjp,https://mega.nz/file/8wpGnAaa#NiOl9BaCaeRm9xcNHuTTaqSYL9ewmo_URKJlDos0g6s,11,,,,,,,,,,
2435,wipro,pjp,training solutions,encapsulation abstraction wipro pjp,https://mega.nz/file/Jx50gYAD#TbjawdyNLEO7LAOfb0xPURYRQH_gC7BIjo4bwO2rvWk,11,,,,,,,,,,
2436,wipro,pjp,training solutions,exception wipro pjp,https://mega.nz/file/AwpkjYpQ#KQtTzkos7oAtLOE06kF6wg5PRFobjtXVtzh4sMEk7Ro,11,,,,,,,,,,
2437,wipro,pjp,training solutions,flow control statement wipro pjp,https://mega.nz/file/kooCiA7S#eF0ZGTXTwc6pfP6vUHX91AaSknPvgxY2SWqdpe_oIGI,11,,,,,,,,,,
2438,wipro,pjp,training solutions,inheritance wipro pjp,https://mega.nz/file/54xyXSKS#1I8BJ8_rCd5VVV9Y10A6zj3v2iU4_Pj2ByvesBbzncw,11,,,,,,,,,,
2439,wipro,pjp,training solutions,interface wipro pjp,https://mega.nz/file/Ih4WEYaY#PDZ4ER86ltwtkJ3F77gX_PK4OaezRN7Pnq9-O45UYMo,11,,,,,,,,,,
2440,java,stage2,ict,car store application java ict,https://mega.nz/folder/19RAUDrQ#EMstQZuFvZaxFXoPEpUsMQ,21,,,,,,,,,,
2441,wipro,pjp,training solutions,io operation wipro pjp,https://mega.nz/file/I8wWBa7S#7cY3habDvIbCS7mnxyvMjyTEqBKUYidzIFGDqgiLI0o,11,,,,,,,,,,
2442,wipro,pjp,training solutions,j unit with eclipse wipro pjp,https://mega.nz/file/5s4mxaTJ#Pvn-6n_1a5zjqQ9fvhHvSR9oe9GmICwvPZk398WhpMc,11,,,,,,,,,,
2443,wipro,pjp,training solutions,language basics wipro pjp,https://mega.nz/file/ktxyDS5T#udJC1fLMCAoPLC99bkOL8NnZJOVkMQ1aTVVzRhMV7Mk,11,,,,,,,,,,
2444,wipro,pjp,training solutions,list wipro pjp,https://mega.nz/file/c8hAHQ7C#bo6OJRWDkKOvVkfAzvZCr8r-3t7JVqt9wwZyvRV-ZS8,11,,,,,,,,,,
2445,wipro,pjp,training solutions,map wipro pjp,https://mega.nz/file/U54ASKQR#1MsyQdG7p_6dWnh4nHqfao2-qzbbanYGGI7oLFdA9rA,11,,,,,,,,,,
2446,wipro,pjp,training solutions,object serialisation wipro pjp,https://mega.nz/file/ts5ggK6L#lUeI5ITrm_xcCPJEqYPR-eo3yyNmzoIpI0ya9luGzso,11,,,,,,,,,,
2447,wipro,pjp,training solutions,over riding polymorphism wipro pjp,https://mega.nz/file/4twAwQKB#YWGOVWj6W2kv4YG7_Sf3_yH5nA86JltEKoPVMsa9dII,11,,,,,,,,,,
2448,wipro,pjp,training solutions,package wipro pjp,https://mega.nz/file/9t4iFY7J#AKCWi165FnR_zIN1neMyjKhU0z8zb-ZUodJBAVL_0JA,11,,,,,,,,,,
2449,wipro,pjp,training solutions,set wipro pjp,https://mega.nz/file/sw52BCyQ#iAXPXEIqcssiMaMHUPto8ioRqPN8lMRUbSkCbpaHPjU,11,,,,,,,,,,
2450,wipro,pjp,training solutions,string string buffer wipro pjp,https://mega.nz/file/A5gQkQob#xNUZraHUnTuOm0BoUzI9_4TrSiX4NIY1xaUEmwajPcU,11,,,,,,,,,,
2451,wipro,pjp,training solutions,test suite wipro pjp,https://mega.nz/file/1pgGyIgT#QLbX0RZEWsoLtz-k4XQyq7febM3oklVnVjZAvOfqnNI,11,,,,,,,,,,
2452,wipro,pjp,training solutions,tm01 proj1 wipro pjp,https://mega.nz/file/Ehoi0Yra#Jk6VQKVyXRz4YWY7OLOizs_yaGiZY8NEdbelSofRG6k,21,,,,,,,,,,
2453,wipro,pjp,training solutions,tm02 proj1,https://mega.nz/file/w9hAFQYR#slwsdQQ2U0AXfmxkU6b7vmv1wpPnbMR8yr0U9FIggGo,21,,,,,,,,,,
2454,wipro,pjp,training solutions,tm02 proj2 wipro pjp,https://mega.nz/file/ogxWkA5Z#cshZXuqc6PqWVaPRxs6TDS7o13MJjgDOIIE1xo6Z6I4,21,,,,,,,,,,
2455,wipro,pjp,training solutions,tm03 proj1 wipro pjp,https://mega.nz/file/pkgQEALb#d_9ljw3eUUxMunSUMEBCCYGItoSthTaVbp0OvjZFPkQ,21,,,,,,,,,,
2456,wipro,pjp,training solutions,tm04 proj1 wipro pjp,https://mega.nz/file/R440nCwQ#qx7_7KO5VqAVvXAZi64yjQp1N-on2DD8zlkNb38idUU,21,,,,,,,,,,
2457,wipro,pjp,training solutions,tm05 proj1 wipro pjp,https://mega.nz/file/Eox2RKJJ#bwtb3Qiask4e6UyDbLgk-0ilNcwfMSNr38zY1mJmAUE,21,,,,,,,,,,
2458,wipro,pjp,training solutions,tm05 proj2 wipro pjp,https://mega.nz/file/Bt5EBa5B#jh95N5-P4ks2E3cbIqs86RXiNvKBOhweZifRTanvjHo,21,,,,,,,,,,
2459,wipro,pjp,training solutions,tm07 proj1 wipro pjp,https://mega.nz/file/tpwA2azB#82NbwoJrP5zIaiFnlQZ_1q24r68siY1P0FWtugYH7Qo,21,,,,,,,,,,
2460,wipro,pjp,training solutions,tm10 proj2 wipro pjp,https://mega.nz/file/8sxEiQAR#oF-9ctDsgPpGJWHLapcP8VD7yNBf9t4wTumXOOYke1I,21,,,,,,,,,,
2461,wipro,pjp,training solutions,tm10 proj3 wipro pjp,https://mega.nz/file/xhgCja5I#VHYcVQ2YWpTP_Ehij1aq0-kMenrE1c5k37FkCbHAH7E,21,,,,,,,,,,
2462,wipro,pjp,training solutions,tm10 proj4 wipro pjp,https://mega.nz/file/R9h2hKYC#qBUwYjtyMKj9EtsgZfzjNTIMFNF6ViAd86iO6NjwKU8,21,,,,,,,,,,
2463,wipro,pjp,training solutions,tm10 proj5 wipro pjp,https://mega.nz/file/51oiEQwK#togNqKCD-VdVs8_Z48IRwAZThaUcqrjDes0m-A8QV8A,21,,,,,,,,,,
2464,wipro,pjp,training solutions,tm10 proj6 wipro pjp,https://mega.nz/file/hpxChCxY#zu4tW-EgLnmf2y12BziCMULmnxPsoSbfD21Vf0MDyfk,21,,,,,,,,,,
2465,wipro,pjp,training solutions,tm11 proj1 wipro pjp,https://mega.nz/file/NlpkkQCD#W5vNZ-CjldCa5lcBrr3KBwNQdqpmhW1KDM4IECvnaR4,21,,,,,,,,,,
2466,wipro,pjp,training solutions,wrapper classes wipro pjp,https://mega.nz/file/Iw4GQYqR#mHExJKN35YBBQEwwqGM_5rc2hhNRsNs49sdl5yZSshQ,11,,,,,,,,,,
2467,cognizant,digital nurture,rdbms,ddl rdbms cognizant digital nurture ,https://mega.nz/folder/90oTTALQ#Y2JwAfrZuOc-_ft3slvNLw,16,,,,,,,,,,
2468,cognizant,digital nurture,rdbms,dml rdbms cognizant digital nurture,https://mega.nz/folder/c4oVxSxA#b00fO4fOD1Rmkx_vzCeUNw,16,,,,,,,,,,
2469,cognizant,digital nurture,rdbms,function join subquery rdbms cognizant digital nurture,https://mega.nz/folder/945VHazA#NzxZGL-LKIofUSzJFhiyZg,16,,,,,,,,,,
2470,cognizant,digital nurture,rdbms,select query rdbms cognizant digital nurture,https://mega.nz/folder/g9pHCIRJ#4gD8_O0lUFvMeLyyobkhhg,16,,,,,,,,,,
2471,capgemini,internship,2,capgemini internship 2021,https://mega.nz/folder/wgQ3TaRT#fKV8y8YYFlihzyRbmlzMIA,200,,,,,,,,,,
2472,capgemini,internship,2,do lab1 capgemini internship 2021,https://mega.nz/folder/QlxVRSKY#zyiEbOoFPXgyeSpPisPcsg,21,,,,,,,,,,
2473,capgemini,internship,2,do lab2 capgemini internship 2021,https://mega.nz/folder/Nwo3lYJJ#xm10Mkdew8da_y_4bkybeA,11,,,,,,,,,,
2474,capgemini,internship,2,do lab3,https://mega.nz/folder/JpxXRaAZ#uQ9AuC9WsCwhmjfsmRGonA,21,,,,,,,,,,
2475,capgemini,internship,2,do lab4 capgemini internship 2021,https://mega.nz/folder/th4VHYrK#LZhnHrT1GQhayjNjfmWKAA,11,,,,,,,,,,
2476,capgemini,internship,2,do lab5 capgemini internship 2021,https://mega.nz/folder/l0hlUYaQ#vpFq7htnn5B8QuiJJiUbmg,11,,,,,,,,,,
2477,capgemini,internship,2,do lab6 capgemini internship 2021,https://mega.nz/folder/9loXQQpJ#-AyNiUukf6zQi2kWDw1Zcw,21,,,,,,,,,,
2478,capgemini,internship,2,java basic revision capgemini internship 2021,https://mega.nz/folder/ps5FDS5Y#vEibeJvKfstg3wgUZMuQng,11,,,,,,,,,,
2479,capgemini,internship,2,star pattern capgemini internship 2021,https://mega.nz/folder/Z0h3Carb#TbVN0yMsmdiytN7VnKihdA,21,,,,,,,,,,
2480,capgemini,internship,2,task1 java basics capgemini internship 2021,https://mega.nz/folder/E45jiYjR#JzpDITH3vLm_ChNpGq4SDg,21,,,,,,,,,,
2481,capgemini,internship,2,car music system application capgemini internship 2021,https://mega.nz/file/cwxHBYgS#6bdwB4shfkcyZhyQsm48w9CbTxRI_MuHag2uskCi7bQ,7,,,,,,,,,,
2482,capgemini,internship,2,demo car class task capgemini internship 2021,https://mega.nz/file/p4xXQQLY#1KI0oqZ2RJ4h0TZFmOlcK1mma6F0YRHkzXoMYhbr1NE,7,,,,,,,,,,
2483,capgemini,internship,2,do lab9 capgemini internship 2021,https://mega.nz/file/dkgRWIwC#_kTuAYlApxz4OuPhxsxtQkIkcyjexFArMEDeGVGacug,7,,,,,,,,,,
2484,capgemini,internship,2,do select lab7 capgemini internship 2021,https://mega.nz/file/s1gj3CRY#MTM1Bg4vbiiTq9W4lBBBA5ZMNrCRKENXFjd4uh-nKKQ,7,,,,,,,,,,
2485,capgemini,internship,2,do select lab8 capgemini internship 2021,https://mega.nz/file/VtpD2KjQ#UJvud-H34SICutl4nP6syT-cYTEj5OUKzokesjRXiFM,7,,,,,,,,,,
2486,capgemini,internship,2,ems app task11 capgemini internship 2021,https://mega.nz/file/Jw4nAQwL#z-Oj3TwXtkEfuuMBv4jhZX9lNje2Y9el1f1qUk14KZo,7,,,,,,,,,,
2487,capgemini,internship,2,exception handling exercise capgemini internship 2021,https://mega.nz/file/Ewo2GTxQ#-LKkIu53Bx8Mvjms61sJwo326SaZLr5DcYMWuwrrFk0,7,,,,,,,,,,
2488,capgemini,internship,2,hibernate orm student app capgemini internship 2021,https://mega.nz/file/E95GybaA#RupxyL8HCFipIgwtchom-kVY2yZflwpxA3atTup5A9A,7,,,,,,,,,,
2489,capgemini,internship,2,jdbc proj1 oracle xe capgemini internship 2021,https://mega.nz/file/d9wAlbJB#Q32crG7sWtyZlEXrT73oA-1Jpz724dEi59SAErRCEy8,7,,,,,,,,,,
2490,capgemini,internship,2,jpa app1 capgemini internship 2021,https://mega.nz/file/FkwWTZLY#kPX2OETPfoq1N2B8zGpFSZO5GCri0uYCmEGpQg_UK0A,7,,,,,,,,,,
2491,capgemini,internship,2,lab9 case capgemini internship 2021,https://mega.nz/file/IoggUYoI#sRf7UVIudXxiKKG2Dha5CshDFZ-kWQdsSvbQCxZkHIA,7,,,,,,,,,,
2492,capgemini,internship,2,sbi bank application task4 capgemini internship 2021,https://mega.nz/file/M85Q2ajL#k-zeZEZRSlna5EjCkxs83ciKPnxTe0Bo70WPyPias5U,7,,,,,,,,,,
2493,capgemini,internship,2,spring app1 student app capgemini internship 2021,https://mega.nz/file/9l5gGK5I#1sUEvrKktJR0CiUhbzBIO9mIihwSYmrvcyRUv5tpvRo,7,,,,,,,,,,
2494,capgemini,internship,2,spring app2 student annotation capgemini internship 2021,https://mega.nz/file/F0w0kCbB#ucoJ4hnooqErGaWodOmN9Zs2TkMFoD1TYSXYQJ0Fmvw,7,,,,,,,,,,
2495,capgemini,internship,2,string class exercise capgemini internship 2021,https://mega.nz/file/0hpg1SxA#NPet5X_-KyiSILHxLct7v3aCMHl7QlDyCXEAx-Yjq9o,7,,,,,,,,,,
2496,capgemini,internship,2,task2 java basics remove duplicate elements capgemini internship 2021,https://mega.nz/file/Z5ohnAYa#lAOYhu0cokjF8dh1-eT1KY-VzRTL4H7DDBBw0Bro5YU,7,,,,,,,,,,
2497,capgemini,internship,2,task3 java basics stock capgemini internship 2021,https://mega.nz/file/9l5VFIQD#Z60jwLHNZAMeojNA2zJtHKGjPnZ2ANYfdLwEN4UdFCE,7,,,,,,,,,,
2498,capgemini,internship,2,task5 java basics flight capgemini internship 2021,https://mega.nz/file/gspRzQAA#eMiidWyblrXUyeU5v-waZOvIQ8heaeXXRPl2l-NeRZo,7,,,,,,,,,,
2499,capgemini,internship,2,task6 java basics Animal capgemini internship 2021,https://mega.nz/file/84oHBYCJ#-rWwv3iOvLV_Vjl-d32o_8hq_1kx2EoUudAydYdBLak,7,,,,,,,,,,
2500,capgemini,internship,2,task7 java spring employees capgemini internship 2021,https://mega.nz/file/YlxBESjI#c5DfwppViVS5QCS5cVEqoXfNy1xK4uwK98HG2lSeha4,7,,,,,,,,,,
2501,capgemini,internship,2,task9 collection product capgemini internship 2021,https://mega.nz/file/Ro5xmaDR#OXCWlw9cErvxZwF9A_2sxJ40omCZYM8WWV_miNt1KFU,7,,,,,,,,,,
2502,capgemini,internship,2,task10 junit testing capgemini internship 2021,https://mega.nz/file/dp5RlK4S#wpRRgfN8_IkkEgWJdpqbi6PlO7n4CcHndl2dIKDZ-TA,7,,,,,,,,,,
2503,capgemini,internship,2,task12 file handling capgemini internship 2021,https://mega.nz/file/co51XIoC#Ge-J-i4w-gkn5XZA-5Uo2GfWikIGwGPr4bqmuS3Gb3Q,7,,,,,,,,,,
2504,capgemini,internship,2,task13 regular expression capgemini internship 2021,https://mega.nz/file/Ap5DAICK#UQDrh2TjacqTQMBRXe-W-RBBJeu0Vt4DY95udD4BzKE,7,,,,,,,,,,
2505,tcs,dca,python,tcs dca python,https://mega.nz/folder/90BE2bjY#57_6DJvROPqBcbxcgSyPRA,51,,,,,,,,,,
2506,cognizant,dotnet,stage3,asp.net core handson1 cognizant dotnet stage3,https://mega.nz/file/Zkw0WQBA#FU2pSyUYRcl78HR6UrYhDq5bUIm-yQ-ToKlpKuYdssA,11,,,,,,,,,,
2507,cognizant,dotnet,stage3,asp.net core handson2 cognizant dotnet stage3,https://mega.nz/file/1h5AjYjb#mwRipmjHmsXmvlU8jbQkQed5XJfmNtcyh1iPn_g-tBI,11,,,,,,,,,,
2508,cognizant,dotnet,stage3,async programming handson cognizant dotnet stage3,https://mega.nz/file/54xwDYIL#3JfBD7uEcYc4PZzgf7MuuL5Gn7VRoIMFTPXRkq_2nws,11,,,,,,,,,,
2509,cognizant,dotnet,stage3,azure handson1 cognizant dotnet stage3,https://mega.nz/file/pshSWQzL#mFfiCoZjBY7UHE2VsGZUr0o9kTshwEqBjJrYtYCWLnc,11,,,,,,,,,,
2510,cognizant,dotnet,stage3,azure handson2 cognizant dotnet stage3,https://mega.nz/file/hkwGnYJJ#VsPLzbJkdu86CnNK4FZDUcsRxzHqVvEV83AdpOLYZlU,11,,,,,,,,,,
2511,cognizant,dotnet,stage3,js pages rar cognizant dotnet stage3,https://mega.nz/file/stgATCQB#Gac3Ghy6O8LIzRt-OVoLcmWz7genSCeA_x8iLuOwn94,11,,,,,,,,,,
2512,cognizant,dotnet,stage3,multithread handson1 cognizant dotnet stage3,https://mega.nz/file/d4pGAYRT#_vwISH1_DvCABSqFEylrPlQqMgM9zh6vMPKP7Vj58p0,11,,,,,,,,,,
2513,cognizant,dotnet,stage3,nunit and moq handson1 cognizant dotnet stage3,https://mega.nz/file/ws522aIC#ahroJ4yRe62yTq2CMkj7n1X2E8LV7gvFvULsJJdDZf0,11,,,,,,,,,,
2514,cognizant,dotnet,stage3,nunit and moq handson2,https://mega.nz/file/t0oEgIIC#pbHiCzpenSvG9Fcan8JfeFOQeX740NAtvYMnV3zUE2c,11,,,,,,,,,,
2515,cognizant,dotnet,stage3,nunit and moq handson3 cognizant dotnet stage3,https://mega.nz/file/YhoSWA5Q#S183qqMeMk_fvDAHEiR4A9YyaMbJnZj121_Kd8gj3Vk,11,,,,,,,,,,
2516,cognizant,dotnet,stage3,nunit and moq handson4 cognizant dotnet stage3,https://mega.nz/file/dkoiBYCS#fSbocrAZhI5L9mc19qt8YhOKocRPJvnQqwK5HLxliSw,11,,,,,,,,,,
2517,cognizant,dotnet,stage3,nunit and moq handson5 cognizant dotnet stage3,https://mega.nz/file/ckxkDAqQ#Ls5_ewZaTFa1klCXE3p9S0yVeSHFRQy0jz54zPYXrQY,11,,,,,,,,,,
2518,cognizant,dotnet,stage3,nunit handson1 cognizant dotnet stage3,https://mega.nz/file/Ixp0AaYC#wwHH40bMDohChp_NEmKnKJa7tTHboWSY0SM9KBqCOnw,11,,,,,,,,,,
2519,cognizant,dotnet,stage3,nunit handson2 cognizant dotnet stage3,https://mega.nz/file/1hwWRY7Q#fjQwp_LEFyTHvZsQBTBKiVPp9ALv1BzS52iDK2Av-Io,11,,,,,,,,,,
2520,cognizant,dotnet,stage3,nunit handson3 cognizant dotnet stage3,https://mega.nz/file/dkhw2QKQ#G2SdMRteE614dhJuByflOmkBA-bH3S0U5-juzIEtfFQ,11,,,,,,,,,,
2521,cognizant,dotnet,stage3,nunit handson4 cognizant dotnet stage3,https://mega.nz/file/A1om2CgC#cGfzs7blx-kDFGkZ4fk4dIIGruAxKccekOrZPjRj-FM,11,,,,,,,,,,
2522,cognizant,dotnet,stage3,web api day2 session1 handson1 cognizant dotnet stage3,https://mega.nz/file/99oyFQZC#q_pbgB8t614BBlhS8pNtKISydalmQHl2NbLuYtCXhks,11,,,,,,,,,,
2523,cognizant,dotnet,stage3,web api day1 handson cognizant dotnet stage3,https://mega.nz/file/8wgUAAxL#NSLxxgCIzttsxBf08qDEFSHR0x8Tzb1WZOttAD3XhJs,11,,,,,,,,,,
2524,cognizant,dotnet,stage3,web api day2 session2 handson2 cognizant dotnet stage3,https://mega.nz/file/wk4A0QLL#ELM_VzKIaLNXVyZBxJYF4XQw4LQYyhRZzPu8vK_WVcQ,11,,,,,,,,,,
2525,cognizant,dotnet,stage3,web api day2 session3 handson3 cognizant dotnet stage3,https://mega.nz/file/co4wyAhC#t-MgCqGeEU3PYLwX1tSkTYc8H0XQowokQYnz55cwUPw,11,,,,,,,,,,
2526,cognizant,dotnet,stage3,web api day3 session1 handson1 cognizant dotnet stage3,https://mega.nz/file/kh50jQzZ#ys-JL-Vx299JQcSFC8AfzY0PlIfjKNTVJFqj7ysMIsQ,11,,,,,,,,,,
2527,cognizant,dotnet,stage3,windows form handson1 cognizant dotnet stage3,https://mega.nz/file/15g2UarD#-xyEX1DHPOijO_H2aCyLvt6_W9l8S-FhnZlrBfdGneY,11,,,,,,,,,,
2528,cognizant,dotnet,stage3,windows form handson2 cognizant dotnet stage3,https://mega.nz/file/E8hwHaLK#IoNnk26zbFpAyilXIt0EtlXqbGOFajrF36QmoxZQn2M,11,,,,,,,,,,
